"category","exposure","outcome","n_snps","n_harmonized","extraction_strategy","beta","se","pval","or","or_lci","or_uci","or_95ci","heterogeneity_p","pleiotropy_p","fdr_pval","significant_fdr","significant_nominal"
"Inflammatory","CRP","Lung cancer",264,244,"Standard",0.0816728947857943,0.0545735051445661,0.134506019845121,1.08510080963874,0.975025967215353,1.20760247077459,"1.085 (0.975-1.208)",9.4730833523523e-68,0.260373569006524,0.67822204994465,FALSE,FALSE
"Inflammatory","CRP","Lung adenocarcinoma",264,256,"Standard",-0.00933489354554581,0.0575035094238754,0.871041214169801,0.99070854131487,0.885111394842751,1.10890382787198,"0.991 (0.885-1.109)",1.95834094835889e-22,0.287671488602059,0.945974499060275,FALSE,FALSE
"Inflammatory","CRP","Squamous cell lung cancer",264,257,"Standard",0.172484505450228,0.0624443876518042,0.00574115571376795,1.18825340902076,1.05136940076198,1.34295915691112,"1.188 (1.051-1.343)",1.16560935325348e-16,0.492062046797651,0.0738148591770165,FALSE,TRUE
"Inflammatory","WBC","Lung cancer",502,482,"Standard",-0.0230053724543346,0.0361040707388706,0.523997128803327,0.977257233489314,0.910492742171161,1.04891742259232,"0.977 (0.910-1.049)",2.15701393640492e-18,0.0378542227956875,0.871272036279349,FALSE,FALSE
"Inflammatory","WBC","Lung adenocarcinoma",502,495,"Standard",0.0431197524407779,0.0502846936920486,0.391161720117317,1.04406291644721,0.946070444369659,1.15220529294364,"1.044 (0.946-1.152)",1.93093750406887e-18,0.150809198502475,0.83083517948701,FALSE,FALSE
"Inflammatory","IL6","Lung cancer",17,16,"Standard",-0.0229226681775229,0.0612887874603227,0.708396284172502,0.977338060184379,0.866711866280745,1.10208446549128,"0.977 (0.867-1.102)",0.00392809078965215,0.170504012403939,0.945974499060275,FALSE,FALSE
"Inflammatory","IL6","Lung adenocarcinoma",17,15,"Standard",0.0828647355239021,0.0582647480332404,0.154965156033483,1.08639484797924,0.969151656946127,1.21782154243528,"1.086 (0.969-1.218)",0.566461940837369,0.914651428672292,0.67822204994465,FALSE,FALSE
"Inflammatory","IL6","Squamous cell lung cancer",17,15,"Standard",-0.0784317550269505,0.0669304351971401,0.241261336812509,0.924565154702643,0.810896050130543,1.0541680714226,"0.925 (0.811-1.054)",0.525728513149015,0.836795132557888,0.726473393785282,FALSE,FALSE
"Inflammatory","IL6R","Lung cancer",5,4,"Standard",0.0137460674254037,0.0194982218190054,0.480815947891309,1.01384097899858,0.975826526762001,1.05333632823806,"1.014 (0.976-1.053)",0.0539999061178017,0.72802732926226,0.864844394415817,FALSE,FALSE
"Inflammatory","IL6R","Lung adenocarcinoma",5,4,"Standard",0.0284164163339597,0.0283527819503088,0.316225578781242,1.02882401435779,0.973210346907312,1.0876156998155,"1.029 (0.973-1.088)",0.0391960530855032,0.436349312783593,0.769197353792211,FALSE,FALSE
"Inflammatory","IL6R","Squamous cell lung cancer",5,4,"Standard",-0.00294908569691728,0.0195525282181008,0.880110713427545,0.997055258584704,0.959568052580725,1.03600696792454,"0.997 (0.960-1.036)",0.396435801154758,0.780578576042463,0.945974499060275,FALSE,FALSE
"Inflammatory","TNFR1","Lung cancer",4,3,"Standard",0.0961105441052078,0.103605793850957,0.353586000064643,1.10088075314564,0.898564479496422,1.34874954474688,"1.101 (0.899-1.349)",0.975355218894589,0.960546069627393,0.83083517948701,FALSE,FALSE
"Inflammatory","TNFR1","Lung adenocarcinoma",4,4,"Standard",0.0754610048042645,0.130202183367499,0.562206051353846,1.07838117521313,0.835491357925668,1.39188269037429,"1.078 (0.835-1.392)",0.53483018632953,0.613787809561799,0.887693765295547,FALSE,FALSE
"Inflammatory","TNFR1","Squamous cell lung cancer",4,4,"Standard",-0.0422408014044671,0.161103293910968,0.793169561135216,0.958638911180574,0.699070797800689,1.31458582581429,"0.959 (0.699-1.315)",0.327681374628013,0.740457737535625,0.945974499060275,FALSE,FALSE
"Inflammatory","WBC","Squamous cell lung cancer",502,495,"Standard",-0.0682832366080028,0.0513657118289226,0.183731064417136,0.933995894280726,0.844542657567502,1.03292394139787,"0.934 (0.845-1.033)",2.09150713403952e-06,0.181130106234189,0.67822204994465,FALSE,FALSE
